idPerson,fiscalCode,name,surname,sex,birthDate,birthPlace,phoneNumber,isVaxed,idFamily,idApp,dateLastTest,resultLastTest,dateInfection,areaInfection,familyMembers,appContactId,appContactDate,appName,placeContactId,placeContactDateStart,placeContactDateEnd
0,MNCNNA64L42E507F,Anna,Mancini,F,02/07/1964,Lecco,3404672086,Yes,0021,08239670151350387995,2020-06-12T10:27,Negative,,,0,55:62,2020-10-19T21:10;2021-07-24T22:01,Corona-Warn-App;Immuni,42:44,2020-09-22T18:47;2020-12-25T23:30,2020-09-22T21:10;2020-12-26T01:20
1,GRDRNN77T67I452V,Arianna,Giordano,F,27/12/1977,Sassari,3439195871,Yes,0018,07548090043657479684,,,,,1:35:66,65:12:58,2020-08-18T16:23;2020-03-11T10:10;2020-02-27T15:38,Stopp Corona App;Coronalert;Immuni,10,2020-11-09T12:34,2020-11-09T12:45
2,MRCGNN74E16G713A,Giovanni,Marchetti,M,16/05/1974,Pistoia,3400891008,No,0025,06632647199490342201,2021-12-17T14:57,Positive,2021-11-04T11:48,35,2:14:32:63:73,11:22:79,2020-02-13T09:52;2021-12-15T07:14;2020-09-16T04:40,CovTracer-EN;Immuni;TousAntiCovid,,,
3,PLLNMO81C70D548F,Noemi,Pellegrini,F,30/03/1981,Ferrara,3482259986,Yes,0043,04022582738071988917,,,,,3:33:70,39:26:57,2021-08-19T10:36;2021-02-19T11:59;2020-11-18T07:59,Stopp Corona App;Immuni;TousAntiCovid,34:38,2021-04-28T03:53;2022-01-19T03:49,2021-04-28T05:02;2022-01-19T05:33
4,MZZGRL17B11H199G,Gabriele,Mazza,M,11/02/1917,Ravenna,3472035047,Yes,0048,00900779366076866474,2020-11-19T05:53,Negative,,,4:6:23:40:60,98,2021-09-05T01:19,TousAntiCovid,39,2021-08-07T18:10,2021-08-07T20:32
5,MRLNNA02H41D122C,Anna,Morelli,F,01/06/1902,Crotone,3405965158,No,0039,07930637581554879504,,,,,5:8:16,60:88:44,2020-03-08T05:39;2021-11-20T04:59;2020-06-15T10:55,Coronalert;Corona-Warn-App;TousAntiCovid,22,2020-11-26T03:19,2020-11-26T03:32
6,MZZLSS14P26A182O,Alessio,Mazza,M,26/09/2014,Alessandria,3494597515,No,0048,09209436834248810086,,,,,4:6:23:40:60,41:88:85:62,2020-04-18T13:09;2021-02-17T20:14;2021-01-19T13:02;2020-12-24T15:48,TousAntiCovid;CovTracer-EN;Corona-Warn-App;Coronalert,,,
7,CSSFRC39R07B354J,Federico,Cassano,M,07/10/1939,Cagliari,3417243325,No,0019,06492473082432868051,,,,,7,11:27:54,2021-02-07T16:34;2021-09-20T06:16;2022-01-15T06:24,Coronalert;Coronalert;Corona-Warn-App,,,
8,MRLRHL35E47G999B,Rachele,Morelli,F,07/05/1935,Prato,3465020513,No,0039,07914355971399539578,2020-12-13T21:06,Positive,2020-11-09T08:43,23,5:8:16,91:55:77,2020-04-15T03:21;2021-08-24T15:32;2020-12-23T08:19,Coronalert;Stopp Corona App;CovTracer-EN,,,
9,LNGMLY04S53A390O,Emily,Longo,F,13/11/2004,Arezzo,3475326230,No,0022,05927933173114160177,2021-10-03T11:02,Negative,,,9:22,25:91,2020-08-28T07:10;2020-07-23T17:50,CovTracer-EN;TousAntiCovid,,,
10,BNCCHL38B54A662Z,Chloe,Bianco,F,14/02/1938,Bari,3416084038,No,0033,07687331811819789775,2020-09-18T18:38,Positive,2020-08-08T12:24,,10:36:39:71,33:39:58,2022-01-13T12:21;2020-05-11T05:15;2020-10-02T16:31,CovTracer-EN;CovTracer-EN;TousAntiCovid,6:22,2020-06-22T12:12;2020-11-26T03:23,2020-06-22T12:56;2020-11-26T03:33
11,GRCDGI11M28H703E,Diego,Greco,M,28/08/2011,Salerno,3457632380,Yes,0015,04519584921686056980,2022-01-25T11:27,Positive,2021-12-14T05:21,,11,2:7:30:45:96,2020-02-13T09:52;2021-02-07T16:34;2020-07-08T19:03;2020-10-11T16:06;2020-08-21T16:45,CovTracer-EN;Coronalert;Immuni;Corona-Warn-App;Stopp Corona App,12,2021-09-15T18:13,2021-09-15T19:09
12,BRNCHR00H48G482M,Chiara,Bruno,F,08/06/1900,Pescara,3485017351,Yes,0011,08484072620779543147,2021-03-27T12:48,Negative,,,12:80:84:90:99,1:20:19:38:83,2020-03-11T10:10;2020-09-12T13:23;2020-12-21T12:13;2021-01-12T13:10;2021-06-07T17:59,Coronalert;Coronalert;Coronalert;Immuni;Stopp Corona App,5,2020-12-05T13:37,2020-12-05T15:50
13,FRRCCL40L44D969D,Cecilia,Ferrari,F,04/07/1940,Genova,3436785939,Yes,0001,03242139284843846165,2021-10-04T05:59,Positive,2021-09-02T14:13,,13:93,23:59:41,2021-07-07T10:35;2020-08-01T03:18;2020-04-08T15:15,Corona-Warn-App;Immuni;Corona-Warn-App,22:43,2020-11-26T03:22;2021-05-29T08:02,2020-11-26T04:18;2021-05-29T09:39
14,MRCZRR01D67C933Z,Azzurra,Marchetti,F,27/04/2001,Como,3440813429,No,0025,03231204869216563243,2021-07-27T16:56,Negative,,,2:14:32:63:73,91:17:54,2021-08-19T02:36;2021-08-30T01:40;2020-06-14T01:15,Corona-Warn-App;Coronalert;CovTracer-EN,19,2021-12-08T16:22,2021-12-08T16:40
15,CSTFNC10E41D205U,Francesca,Costa,F,01/05/1910,Cuneo,3435776131,Yes,0006,04267120625435679577,2020-11-16T20:09,Positive,2020-10-11T08:52,47,15,60,2021-02-05T17:14,Coronalert,,,
16,MRLMRC03S01D810X,Marco,Morelli,M,01/11/1903,Frosinone,3411023192,No,0039,05098035832826658864,2021-03-27T16:33,Positive,2021-02-04T16:10,,5:8:16,40,2020-08-20T13:51,CovTracer-EN,,,
17,GLLLEI31E15D150U,Elia,Gallo,M,15/05/1931,Cremona,3408562684,Yes,0005,03156542821831309154,2020-05-24T04:46,Positive,2020-04-21T00:12,,17:88,14:66:50,2021-08-30T01:40;2020-09-21T05:05;2020-06-17T13:38,Coronalert;Corona-Warn-App;Immuni,30:42,2021-04-14T22:17;2020-09-22T18:38,2021-04-15T00:05;2020-09-22T21:09
18,SPSCRS84L30F158X,Christian,Esposito,M,30/07/1984,Messina,3405777929,Yes,0009,01676664019843869481,2021-08-30T12:05,Negative,,,18,,,,,,
19,SNTGCM29P17L483C,Giacomo,Santoro,M,17/09/1929,Udine,3435118612,Yes,0031,07612512159356353394,,,,,19,12,2020-12-21T12:13,Coronalert,33,2021-10-30T02:16,2021-10-30T05:06
