,fiscalCode,name,surname,sex,birthDate,birthPlace,phoneNumber,isVaxed,idFamily,idApp
0,FRRMGH56P43D205W,Margherita,Ferrari,F,03-09-1956,Cuneo,3418423144,No,0001,00231360056172410344
1,GTTMLD00C71H282B,Matilde,Gatti,F,31-03-2000,Rieti,3441959165,No,0028,07518694106506354639
2,MRNVCN19P21L049P,Vincenzo,Mariani,M,21-09-2019,Taranto,3469068044,Yes,0029,08501739972375984912
3,GNTSMN13T14H223J,Simone,Gentile,M,14-12-1913,Reggio nell'Emilia,3437803601,Yes,0037,03888422059997286840
4,SNTRCC02P67F704T,Rebecca,Santoro,F,27-09-2002,Monza,3450674300,No,0031,05961648307000066057
5,MRTMGH69M57B745A,Margherita,Martini,F,17-08-1969,Carbonia,3469549213,No,0026,01460006863793215615
6,CRSMRC44S17D643Y,Marco,Caruso,M,17-11-1944,Foggia,3408967143,No,0038,04288484703900184458
7,CSSSML80C09I452Y,Samuel,Cassano,M,09-03-1980,Sassari,3471246342,No,0019,08807384444293059204
8,CRSBRC40D70F704W,Beatrice,Caruso,F,30-04-1940,Monza,3474997672,Yes,0038,03680324473351543343
9,RSSLNE28D42L483H,Elena,Rossi,F,02-04-1928,Udine,3474028669,No,0000,05591713677761195947
10,GLLNDR01C26F257T,Andrea,Gallo,M,26-03-2001,Modena,3442800982,Yes,0005,05614934088424977263
11,GLLCCL27T42L103X,Cecilia,Galli,F,02-12-1927,Teramo,3485422160,No,0027,08516420393054566555
12,SRRSML07T04A944T,Samuele,Serra,M,04-12-2007,Bologna,3494501895,Yes,0035,02583058986251845257
13,LMBGRG50C42L331G,Giorgia,Lombardi,F,02-03-1950,Trapani,3474591376,No,0017,06512647237634772379
14,GLLRCR64D13L407K,Riccardo,Galli,M,13-04-1964,Treviso,3482458357,No,0027,03986150576366298860
15,BRNDRD29A28G337Q,Edoardo,Bernardi,M,28-01-1929,Parma,3475642980,Yes,0047,01590590532799445446
16,FRNRCC86T51A326M,Rebecca,Farina,F,11-12-1986,Aosta,3417154080,No,0036,08631159910935458469
17,FRNMNL39L04D542R,Manuel,Farina,M,04-07-1939,Fermo,3473543989,Yes,0036,05521286962774345281
18,FRRNDR02R16G478N,Andrea,Ferraro,M,16-10-2002,Perugia,3435043186,Yes,0042,00844801201261253739
19,TSTBDT65E57A345S,Benedetta,Testa,F,17-05-1965,L'Aquila,3408368764,Yes,0041,08016005767177625744
20,FRRMNL48E13D150U,Manuel,Ferraro,M,13-05-1948,Cremona,3460884242,No,0042,07698942053612738083
21,GRSSML03A14L750K,Samuel,Grassi,M,14-01-1903,Vercelli,3461159051,Yes,0044,08035925796820576812
22,GRDNEE54R31A952U,Enea,Giordano,M,31-10-1954,Bolzano,3426059327,Yes,0018,07859291194104450193
23,GRSSVT53R14F704A,Salvatore,Grassi,M,14-10-1953,Monza,3477808864,No,0044,05877522238188598424
24,RCCBDT60E57I726A,Benedetta,Ricci,F,17-05-1960,Siena,3422078475,Yes,0010,07728157517603145347
25,SNTBNC71C69E507Q,Bianca,Santoro,F,29-03-1971,Lecco,3406654461,Yes,0031,00701542741096874839
26,GNTSRA98L50D810B,Sara,Gentile,F,10-07-1998,Frosinone,3465155943,No,0037,04878161462693839589
27,MRNGLI57D21D086Z,Gioele,Marini,M,21-04-1957,Cosenza,3416228712,Yes,0032,03618193474761958634
